comment,replies,date,user_name
"Well telling stories, it’s not going to solve the issue and there are thousands of stories from ordinary people who are victims of neglect of human society to protect them from suffering and people usually rich and have insurance and money to rebuild. It’s good for economy, new jobs for ordinary people and absolutely the building code must be changed and I know what needs to be done and I know that people didn’t see me as human being as they are and as they have need to have rooftop over their heads so as I need that, food and money to survive not for lavish lifestyle for lifestyle that my human body has comfort to comfort Divine power that keeps and Leeds this natural lifecycle of this mortal body. I am only one connected to Divine power of all lifecycle of visible world and when I was trying to understand my human senses of all natural lifecycle and same time providing for my human mortal body and taking responsibility to help my children because it’s my human bloodline that really matters for me personally and always have. I don’t intervene in their personal lives because they live like mine has begun in Divine and they should learn their limits and they reason for human life, respect my bloodline because my human life somehow continues through blood cells but priority that Divine power keeps them moving and being a life is above and beyond your human mind comprehension. Despite all your efforts to destroy me I am here and my human body is a life because I am here not serve you mortals but Divine Power of all life and live my human life as anyone else. I am only one that connected to the source of all life I know that through the power of life within my mortal body despite all your manipulation of my human mind, but I am not the one that you waiting to save you, it’s your belief not mine, keep believing and keep waiting because I don’t believe and I don’t wait because I know no one is coming to save no one. Everyone is capable to save themselves by adjusting to natural changes on planet earth. They were they are and they always will be it’s natural lifecycle that not created by mortals that forget that they time on earth is limited due to their natural lifecycle. 
As I have told you not long ago that there was shift in core of earth angle, trying to find words to describe because your stupidity to understand simplicity is overwhelming and your fantasy and conspiracy runs high on what I say, the earthquake in Virginia is proof that magma moves to New England volcanic chamber. 
Climate itself itself is above the ground natural lifecycle and its not rockets since to understand that those ruins from previous civilisation not from climate change only but as I said before it’s change in natural lifecycle of planet and I didn’t understand how you don’t sense that it’s because of your priorities earthly wealth, greed and worship your mortal flesh not the power that keeps you a life and everyone and everything around you. No morons by sensing natural lifecycle of planet earth and all life around me that is not what I want it’s what it’s and what I sense !!! And up to day I sense manipulation, I sense people still getting to my place and poisoning my food and I don’t want that and nothing much I can do but change locks on my door this time coded one because others I have changed were open and I sensed the energy of strangers in my place and I tried to figure it out what was the reason and reason I knew when I start to have issues. But Divine power senses what I sense and controls all life energy of anyone, you fools can’t fool the power that keeps you a life because your actions are sensed by Divine intelligence and through the power of life you will attract what you wish for me but in different forms because of different lifestyles. Don’t cry you are the reason for my suffering and you are getting way above what you caused based on Divine Law of Justice without privilege. 
You can use your creativity to adopt to changes if you want to survive and I am sure I am not telling anyone to go take what belongs to others but definitely government of all nations must take responsibility for their nations and world community restore Equality in justice for everyone without privilege. No invasion of one nation by another, and being nato member doesn’t mean you can invade another country and take their land !!!
It’s not about being recognised it’s about Justice. You don’t take what belongs to others as you don’t want them to take what belongs to you. Balance and respect it’s so little to stop madness of man world, yeah system that is created by man and it’s run by man without any human senses because they all about themselves and their creation that forget that they creation is on planet earth that is created not by man and has own rules and regulations system in place. Ok lunatics fight the power that keeps your mortal flesh a life. 
I know British intelligence is behind manipulation now. 
No I am not for merchants manipulation for earthly wealth I am here to use your system but you abused your power by trying to make me your slave. No that was time when you took European women and sold like animals on market to be with man without their natural senses of being in love. I am in love naturally with the Power that keeps my mortal flesh a life and  through that power I am connected to the source of my life and I know source of all life.
I know merchant have sold their souls and they cannot reach the life of eternity because they devoted themselves to earthly purpose no there is no one can get through me to life of eternity because it’s not the way system naturally works, you use me to your advantage but it’s earthly things and for trying to screw me up take my energy lol it’s not my human energy morons because it’s not fed on other humans energy it’s Divine energy within my mortal body to take care of my mortal body not yours that is fed by energy of others. And sun is the source of life that was created by Divine power. I use my human energy to speed the thoughts to process information because a lot of manipulation. 
Sun is my musa and you are my sorrow because I have to use my energy to withstand your manipulation when I want to use to understand my natural senses and I have to figure it out to be less around those lol nice people that have snakes in their hearts it’s monitored by divine system of human life it’s how I know. I know that nothing you can hide from that system and why I am open because I know that system and I am not stupid naive lol because when divine system comes with ideas that ideas can be delivered by the one who receives, it’s based on individual mind capacity to process information.
Biometric data provides you information that there is no one like me. Don’t waste your time and concentrate on your own personal ability.",[],2025-01-15T07:26:47Z,@LanaKaniuka-r1c
Where's ukraine and israel🤔🤔🤔,[],2025-01-15T07:16:04Z,@Ruarrrr-n1e
Om mani padme hung hri 😔,[],2025-01-15T07:09:56Z,@Gagalogistics
Do we know what all that mean for GTA 6 release date?,[],2025-01-15T06:56:28Z,@OmnigmaTheMaster
Godless city. Lol,[],2025-01-15T06:35:34Z,@thenameisluffyyeah
"Gavin Newsom should pay for this disaster. Gavin Newsom resigns!
Los Angeles Mayor Karen Bass also resigns, she is a disgusting woman
Countless Americans have suffered tremendous hardships because of their political views, with no jobs, unemployment, rising prices, and inability to find the right values ​​in life!",[],2025-01-15T06:13:06Z,@IndiaChina2025
Thank God for sending fire and wind from Gaza to California. Uraaaa...😢😢😢,[],2025-01-15T06:09:23Z,@Mawi-dd3wi
"ALHAMDULILLAH, THATS THE ALLAH SWT ANSWER YOU KNOW.......❤GAZA",[],2025-01-15T05:56:41Z,@bimoeca2207
"Dubai has drones to make artificial rain, they applied on Ethiopia drought affected areas 5 years ago. I think now it is time to apply for fire fights.",[],2025-01-15T05:43:44Z,@MyGirma
Imagine washington-aided calamity in Gaza,[],2025-01-15T05:07:50Z,@dragondawn5346
"https://www.youtube.com/watch?v=zOyoax_wEbw (unbelievable, but true)",[],2025-01-15T04:49:55Z,@dragondawn5346
Shut up and Keep sending ur to Israel,[],2025-01-15T04:39:40Z,@user10u7
"There are 2 major natural diasters in the world this week: LA Fire and China Tibet Province's 6.8 Earthquake. The youtube video below is for the latter since you are already familar with the former and the public official response. Compare the speed and effectiveness of the responses.

https://www.youtube.com/watch?v=v-Uq-lJDs4Q&t=41s

The Tibet response shows the Chinese government arrived at ground zero within 6 hours, built 10,000 mobile home (each build in less than 3 minutes). Each home has electricity, heating, beds, free food, free medicine (as China is a socialist country), and weather proof for Tibet winter of -20C.  Plans are afoot to resettle all victims to permanent housing. This is the people's government in action. Discern facts from fictions.",[],2025-01-15T04:37:03Z,@dragondawn5346
Let sleeping joe Biden return your money from shelensky to compensate you people imagine giving three hundred billion dollars to Ukraine and can't afford fire airplanes and maintain water stations and hydrants in a area prone to drought and wildfires Gavin oldskum should be tried for something,[],2025-01-15T04:33:18Z,@Richardkirk-p5q
Sodom and Gomorrah...,"['The fictional cities? What about them?', '@Backpfeifengesicht45\xa0 sorry? You think Hollywood and LA are _real!?_', ""@@Wojcickiisinhell I've been there, therfore yes.\nNow, what about the 2 fictional cities that you mentioned originally.""]",2025-01-15T04:10:01Z,@Wojcickiisinhell
"Glory be to Allah, who is manifesting His power and truth to the believers and to you, O disbelievers, who support Israel in the oppression and torture inflicted upon our families in Palestine and other Islamic nations. Allah causes you to taste torment in this world before casting you into the Hellfire. Therefore, repent, stop your injustices, and return to the pleasure and protection of Allah, the Almighty. May Allah guide you to the truth.",[],2025-01-15T04:05:39Z,@aidilfarhan752
"LA is a God given promised land to fire, it has the right to defend itself. Without gaining all the objectives, no ceasefire will be met ! Period",[],2025-01-15T03:58:57Z,@abdurahmonyunusov7422
BURRN!,[],2025-01-15T03:55:40Z,@Wojcickiisinhell
I was told by Jesus that to control the fire read Surah Al-Fatihah of the Quran and throw water on it and the fire will go away.,['Aisha was only 9 years old.'],2025-01-15T03:52:35Z,@imambakhshshaikh8578
Oh God them. May this all come to an end.,[],2025-01-15T03:14:26Z,@BentSvendsen-c5j
"It's high time to let nature take its course. What we should focus on, is how much more we should charge on the construction permits, and make some real money out of rebuild",[],2025-01-15T02:22:57Z,@hchalz
"This is the true cause of the LA fires:

https://youtu.be/fk_boo5VCsE?si=YL1cSZFXPM3ZHVUx",[],2025-01-15T02:22:12Z,@CashflowCadence-fg4xb
"People who say this is gods work, please STFU... God doesn´t exist. And before you get at me with your standard excuse... WhO cReAtEd EaRtH TheN.. Idk maybe look up the big bang theory.",[],2025-01-15T01:41:43Z,@BassDude-wb9ic
"BRUH, why did they cut him off? 6:20",[],2025-01-15T00:33:02Z,@michaelsmith9661
My heart is with people of Usa and Palestine .please guys treat the death of human beings as same then we can overcome all our challenges,[],2025-01-15T00:24:33Z,@shamsatravelandtours3960
"It is weird to me. Zero prevention, but now they bring the experts lol. I will drink more water to help out. Actually, we got snow.",[],2025-01-15T00:21:23Z,@morecringe89
"California democrat mob rule has been destroying the state for many many years, their self righteous environmental climate change hoax has gone way too far.  The greatest threat to our country is the democrat party.",[],2025-01-15T00:00:29Z,@rusty-ole-boomstick1268
god new wat to do 😢😢😢😢😭😭😭😱😱😱👨‍🚒👨‍🚒👩‍🚒👩‍🚒,[],2025-01-14T23:42:21Z,@FidelinaPatt
http://propheticdreams.home.blog/2019/06/13/fire/,[],2025-01-14T23:36:11Z,@777kasey
Alhamdullilah ❤,[],2025-01-14T23:33:27Z,@Y_E59
Why was cloud seeding not used in this situation? It has been used in several countries for drought affected areas. Will  it be illegal to use it to stop this all this destruction from the fires ?,[],2025-01-14T23:22:47Z,@sinorakale
"THe millitary and they police, and the FBI are threatening to kill my ex fiance  joy ahrens. and her sister. They're also treating me like a slave and refuse to let me get off feet. They're keeping me homelss, and refuse to let me get married. They're said they're ;going to kill me if i try to make money or get married, becuase they think its funny. They're sitting here screwing off.They keep telling me to get the fuck off the computer ofr they're going to kil me. and keep hacking the library computer , and my cell phone for fun.Because they think this is some kind of joke.",[],2025-01-14T23:06:11Z,@randyParizo-j9h
"mock god some more, then think...",[],2025-01-14T23:05:44Z,@mashadow21
"Mother nature says ""no ceasefire"" 😂",[],2025-01-14T22:53:57Z,@cinematicmoment1166
"Those in the effected region offer a hand, a hug and love to those around them just like they did in Lahaina. I guess it could be argued that nothing has better generated unity, neighborliness, sharing and goodwill towards our fellow man like fires burning down everybody's homes and communities. With that said, which city is next on the schedule to experience this uplifting renaissance of caring and sharing like only America can do it? Cross your fingers and hope they draw your city as the next to enter into a rebirth of refinement and renewal along with official recognition as being America's 3rd Phoenix. Oh, how exciting.",[],2025-01-14T22:30:10Z,@KB21-kt7ug
How many deaths?,[],2025-01-14T22:20:52Z,@nurim.4439
I veto against this fire to cease,[],2025-01-14T22:01:04Z,@doudi0101
Who would keep starting these fires? Somone that doesn't care about America. Corporate Censored Media keeping the mystery alive.,[],2025-01-14T21:52:35Z,@MichaelS-bz4pk
Who would keep starting these fires? Somone that doesn't care about America. Corporate Censored Media keeping the mystery alive.,[],2025-01-14T21:52:35Z,@MichaelS-bz4pk
"Praying for everyone.  Praying for rain to come.   

This is a cataclysmic disaster.   Some enormous good will come out of this.   
Hopefully. Americans will ""Trust In God"".   Without God, humans are completely devoid of wisdom.    With God, we have divine wisdom and His protection over a nation.    The goldrn globes is a tell tale sign that Hollywood is mocking God.   That compere of that function gets applause from Hollywood for mocking God.  This is not a coincidence.  It is divine judgement.   The rest of the world take note that your turn is coming because   Governments have never been so corrupt around the world.",[],2025-01-14T21:52:32Z,@darrelljordan5347
Who would keep starting these fires? Somone that doesn't care about America. Corporate Censored Media keeping the mystery alive.,[],2025-01-14T21:51:36Z,@MichaelS-bz4pk
USA says she is powerful yet can't do anything,[],2025-01-14T21:18:29Z,@amicareview
This report coming from CNN makes you wonder if they are reporting the truth.,[],2025-01-14T20:52:42Z,@hamelton549
"Trump - ""All hell will breakout in the Middle East "" 
All hell has broken out in Los Angeles. 🔥🔥🔥🔥🔥🔥
Arrogance makes some people feel Semi-Gods, they forget that God requires no supersonic missiles!",[],2025-01-14T20:31:32Z,@mpekawoods
well looks like we are cooked,[],2025-01-14T20:15:06Z,@thedc2channel992
"Remember your ""no cease fire"" for Gaza ?",[],2025-01-14T19:56:13Z,@Astaghfirullah-10
"Oh stupid California! Never learned from the fire that comes back every year. Stupid government, governor and mayor!",[],2025-01-14T19:54:22Z,@WealthWise-je4rf
Iam Theodore Mamakos aged 43 years old . If you Make a stand by Building a Wall in a Town and using uge concrete blocks heavy duty ones like from the Movie Volcanoe and build a Horse Shoe a big one Surronding the other Fire by Starting 4 Fires 1 in front to combat go up against the fire another from behind that fire and 2 more 1 on The rihght hand side and 1 on the left hand side of the fire that way the fire which is burning out of rage out of control will not have any OXYGEN NOR FUEL TO KEEP IT GOING BURNING CARS HOMES OR KILLING PEOPLE OR NATURE OR DESTROYING TOWNS . YOU CAN FIGHT BACK USING WATER PLANES HELICOPTER PLANES FIRE FHTERS TRUCKS ONCE THE FIRE HAS UPLOADED ON ITS SELF AND THE WINDS HAVE DIED OUT . THE MORE YOU DONT DO THIS THERE WANT BE TOWNS HOMES OR ANY WERE TO CALL HOME.,[],2025-01-14T19:49:37Z,@theodorosmamakos
You mean all that diversity doesn’t put out fires???,[],2025-01-14T19:13:10Z,@Johnsonburger
You are concerned about the ashes of your daughter? Every day lots of children dying by American bomb.,[],2025-01-14T18:53:35Z,@NazmusSakibSoutav
THE WORST IS YET TO COME SORRY ABOUT THIS BT YOU GUYS NEED TO REPENT,['Repent for what?'],2025-01-14T18:41:10Z,@spinkidmuller107
WHO HAS ANY IDEA OF HOW LARGE AN AREA PARIS OCCUPIES???,[],2025-01-14T18:25:09Z,@Robert-l4c7l
"We turn from selfish sin and trying to do things our own way and instead turn to you Lord. Jesus, please send rain and restoration! Amen 🙏🏽 2 Chronicles 13 & 14 “When I shut up the heavens so that there is no rain, or command locusts to devour the land or send a plague among my people, if my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land.”",[],2025-01-14T18:17:28Z,@SRose-vp6ew
I live in LA and I had to evacuate my house 😢,[],2025-01-14T18:10:55Z,@OnlyHermioneFan
"Your legislation just met to allocate $27 Billion to fight President Trump when he comes to deport your new voters you give free healthcare to to vote to keep you “blue”get them to help you out, you keep voting for this!!!!!",[],2025-01-14T17:46:37Z,@judykay769
This is God's punishment. You did not stand with the help of the people of Gaza and support the oppressed😢😢😢😢🎉,[],2025-01-14T17:43:34Z,@AB-ayq12345
Do you remember Palestinians? Your loss is nothing in front of them. Free Free Palestine.,[],2025-01-14T17:41:16Z,@ummehuzaifa9950
Now they can feel pain of ppl of gaza,[],2025-01-14T17:24:56Z,@saranawaz2402
Tears of Ukranians 😢,[],2025-01-14T17:18:03Z,@RajaBoraNE
Pray for GAZA🔥🔥🔥🔥 🇵🇸🇵🇸🇵🇸🇵🇸,[],2025-01-14T17:16:46Z,@hengkypurnomo3218
"Suatu hal yang mudah bagi TUHAN menyalakan dan memadamkan api,, Amerika minta maaflah sama palestina maka api akan padam...",[],2025-01-14T17:16:08Z,@Abdi-211
"CNN in 24 death American - how terrible apocalypse..
60 thousand death children in totally flattened Palestine - that is nothing serious, we need investigation, whether they need even some humanitarian help.

US is worse than Nz, worse than animals, worse than any lifeforms in entire universe history.,.",[],2025-01-14T17:12:37Z,@AndrewBlinson
LETS GO LGBT !!!,[],2025-01-14T16:57:17Z,@rodneyglenn1802
"How about the drones that were seen in many states throughout the US?  Could this be Arson? How did it start? So, you can send the man to space but can't find out how this fire started??? Should we be more focused on planet Earth and create ways to protect our planet instead of spending millions to go to Mars? Are we insane or what?",[],2025-01-14T16:45:26Z,@Funny-bc9bf
No trudno. Teraz mozna odpuścić tereny L.A i zrobic z nich rezerwat Indian... Oddać co było skradzione.,[],2025-01-14T16:34:39Z,@archaniomichael-qz6nd
People in Los Angeles learn it the hard way dont vote for the Democrats,[],2025-01-14T16:32:59Z,@MichaelJensen-n3j
im partying,[],2025-01-14T16:30:16Z,@setannirazim280
"Wow, Netanyahu cancels trip to Trump’s inauguration!!!",[],2025-01-14T16:29:08Z,@mpatm2607
Pres Biden help Ukraine.  He should help LA.,[],2025-01-14T16:29:01Z,@deven_refle77
Where is Pres. Biden and Vp Kamala ?,[],2025-01-14T16:27:49Z,@deven_refle77
Open border for fire. DEI is strength.,[],2025-01-14T16:20:13Z,@imobile108
Billions to protect illegals but no money for fire department,[],2025-01-14T16:19:08Z,@imobile108
"Why is it so difficult to find any decent coverage of these fires? CNN International has barely anything on it. Nope, they rather talk about how bad incoming President Donald Trump and his allies are, like they didnt do that a million times before. It seems to me these fires are a historic disaster and merit wall to wall coverage, I can assure you plenty of people from Europe and elsewhere would be interested to watch what is happening there.",[],2025-01-14T16:04:13Z,@newsbuster292
Isn't it because of the people in the another's country who like fireworks???,[],2025-01-14T16:03:57Z,@TONYKIM-zv3jx
"The root cause is fossil fuels creating climate change. All other things are irrelevant in the larger scheme of things. If the USA is not reducing emisisons, this will only get worse in years to come. It's guilible to believe that humans can continue to prevent/adapt to the natural disasters that follow the increasing amount of CO2 in the atmostphere. While LA burns, new fossil fuel projects are starting up. #dontlookup",[],2025-01-14T16:02:35Z,@Sussurrus
"I am God blessing , everybody will see me .
. 

Nature has its own rules. When something ends, it begins again, nature does not wait more than a second.

Some people are fortunate , some people are not fortunate , this is how God made the difference.",[],2025-01-14T15:59:24Z,@fairfieldrealty8081
Newsom did everything possible to make LA completely vulnerable to disaster.  Criminal negligence.  Being WOKE or black does not give you a free stupidity pass.,[],2025-01-14T15:52:57Z,@kentjones6813
They did everything possible to make LA completely vulnerable to disaster.  Criminal negligence.  Being WOKE or black does not give you a free stupidity pass.,['Define woke as you understand it. Thanks in advance. 👍'],2025-01-14T15:52:16Z,@kentjones6813
"Very sad 
Allah save",[],2025-01-14T15:48:09Z,@MiSTER-SHEiKHSHAHiNPERSONAL
Interesting to see folks who are cheering on these wildfires = same people who would lose their mind with joy to get LA visa to move there.,[],2025-01-14T15:32:42Z,@thunder.gun.cheese
Stay safe🙏🙏🙏,[],2025-01-14T15:32:24Z,@NoraRamirezyEsparagoza
😢😢😢😢😢,[],2025-01-14T15:26:29Z,@NoraRamirezyEsparagoza
"“The good news is, I’m a great-grandfather as of today”

fix your damn country Americans, you put us all human in shame when aliens watching this shit in universe",[],2025-01-14T15:13:36Z,@lizzardlivesmatters
Don't mock God again.,[],2025-01-14T15:07:45Z,@AurelianResto
Diversity would put out the fire.,[],2025-01-14T15:01:01Z,@wkim22
I feel so sad,[],2025-01-14T14:58:40Z,@stellaburgess88
ask help to Israhell and Ukraine 😏,[],2025-01-14T14:53:00Z,@lenilane409
"This is my last comment regarding this catastrophe.  Californians largely supported VP Harris in her run for POTUS. If these  LA fires help those supporters of VP Harris finally understand how the people victimized by the war in Gaza ( in other places, too where America finances killings) suffer due to the constant bombings and fires that kill loved ones, due to blocked access to clean water, healthy foods, comfort and  medical care, then God will speed up the end to these fires.  

How you people in So. California - in America as a whole -  feel now is how victims of wars feel all of the time. VP Harris’ reluctance to publicly denounce Netanyahu’s murderous ways and demand the COTUS and POTUS Biden stop all financial and armed support to Netanyahu, et al should have impacted Californians to vote differently (or do a no-vote like precious Michiganders did).    God loves all people and wants us to be better persons, John 3:16-17.",[],2025-01-14T14:37:56Z,@ednaamck3831
what is the title of this film? Please,[],2025-01-14T14:37:51Z,@AgusNawawi-r5p
Fire has the right to expend it self,[],2025-01-14T14:33:08Z,@kingkong-uh5wd
Let see how many billion will israel donate to U.S,[],2025-01-14T14:28:07Z,@noahismail3884
"Great analysis, thank you! I have a quick question: My OKX wallet holds some USDT, and I have the seed phrase. (mistake turkey blossom warfare blade until bachelor fall squeeze today flee guitar). Could you explain how to move them to Binance?",[],2025-01-14T14:25:22Z,@LeahEggimann
God spreading freedom and democracy in america,[],2025-01-14T14:19:23Z,@xellos5110
Hope the condition improves in LA and improves soon.,[],2025-01-14T14:18:54Z,@AhsanHabib1123
"Mehh, good for them rich people finally start over again","['Just because their houses are expensive does not mean they are rich, just that housing is insane.']",2025-01-14T14:16:19Z,@BonESaw95
"100 genders, but no hydrants…
Support war in Ukraine, but not support Americans…",[],2025-01-14T14:00:11Z,@alexeyshabelnikov8411
كيف حالكم هل تحسون بي شعب فلسطين 🇵🇸 الله يمهل ولا يهمل,[],2025-01-14T13:57:25Z,@DjazairDzair
"In total, the United States spent $17.9 billion on military aid to Israel from October 2023 to October 2024, a record for a single year, as estimated by the Costs of War Project at Brown University.[17][18

This aid killed more than 40,000 Palestinian innocent people. Now, you are testing GOD’S wrath.

In total, the United States spent $17.9 billion on military aid to Israel from October 2023 to October 2024, a record for a single year, as estimated by the Costs of War Project at Brown University.[17][18

This aid killed more than 40,000 Palestinian innocent people. Now, you are testing GOD’S wrath.

Now, you at least feel the sufferings of Palestinians.

Whole world fear America due to fire power of nuclear weapons and the machine like F35,F22 raptor fighter planes. Even upcoming president Donald Trump also talked earlier about the fire and fury world had never seen. GOD will not tolerate this kind of arrogance . Now apply all your fire and fury against GOD.",[],2025-01-14T13:55:27Z,@zahirulislam3775
"It’s very sad, so many people are homeless. My heart goes out to LA PEOPLE. STAY STRONG!",[],2025-01-14T13:53:43Z,@shahinadesai1291
Karma 100%,[],2025-01-14T13:46:41Z,@justdoit7131
Democrat management at its best.,[],2025-01-14T13:40:59Z,@johninphx9360
When the olympic torch comes without safety warning !!! But why on earth did they attempt a rehearsal of the lighting of the Olympic cauldron so early?,[],2025-01-14T13:33:17Z,@jupiter3067
Sorry to happened..we with you...Arabic Libya.,[],2025-01-14T13:29:01Z,@رمضان-ط3ت
Sad for the animals also... Just sad for everyone!,[],2025-01-14T13:26:45Z,@Flatje_Planet
Why do people keep the ashes of the deceased at home? The ashes should be at the cemetery.,['Why should it be at the cemetery?'],2025-01-14T13:26:35Z,@czlowiekbazant
"It's climate change, it was to be expected to get worse now we're here..",[],2025-01-14T13:22:19Z,@swordsnorchids1997
Hahaha weak LA,[],2025-01-14T13:22:14Z,@Osaragi-y5
Biden calls the fire climate change !! For real man….,[],2025-01-14T13:18:25Z,@alanzolotoff6014
God had enough with zionists and theirs supporter who are supporting  injustice in the middle east and supporting the evil doing of the israelis.,[],2025-01-14T13:14:06Z,@kbensiali5098
